scan_id,timestamp,lat,lon,ssid,mac,rssi
217,2026-02-17 10:48:04,35.51949,11.0334,ooredoo-43DD30,98:A9:42:43:DD:31,-86
217,2026-02-17 10:48:04,35.51949,11.0334,Ooredoo-X17M-283C77_plus,D4:35:38:03:4E:12,-88
216,2026-02-17 10:47:59,35.51948,11.03343,AP_M32531-7221023FP,28:56:2F:56:A8:E1,-73
216,2026-02-17 10:47:59,35.51948,11.03343,DIRECT-920A1139,3A:9D:92:0A:91:39,-86
216,2026-02-17 10:47:59,35.51948,11.03343,Ooredoo-X17M-283C77,D8:42:F7:28:3C:7B,-80
216,2026-02-17 10:47:59,35.51948,11.03343,sunways-WiFi0730211B,44:2A:8F:F8:43:50,-72
215,2026-02-17 10:47:54,35.51948,11.03343,Ooredoo-X17M-283C77,D8:42:F7:28:3C:7B,-80
215,2026-02-17 10:47:54,35.51948,11.03343,D-Link_DAP-1360,1C:5F:2B:9F:39:DE,-88
215,2026-02-17 10:47:54,35.51948,11.03343,DIRECT-920A1139,3A:9D:92:0A:91:39,-86
214,2026-02-17 10:47:49,35.51943,11.03352,AP_M32531-7221023FP,28:56:2F:56:A8:E1,-73
214,2026-02-17 10:47:49,35.51943,11.03352,Ooredoo-X17M-283C77,D8:42:F7:28:3C:7B,-80
214,2026-02-17 10:47:49,35.51943,11.03352,PIX-LINK,90:91:64:25:C9:45,-76
214,2026-02-17 10:47:49,35.51943,11.03352,DIRECT-920A1139,3A:9D:92:0A:91:39,-86
214,2026-02-17 10:47:49,35.51943,11.03352,sunways-WiFi0730211B,44:2A:8F:F8:43:50,-72
213,2026-02-17 10:47:44,35.51946,11.03366,sunways-WiFi0730211B,44:2A:8F:F8:43:50,-72
213,2026-02-17 10:47:44,35.51946,11.03366,AP_M32531-7221023FP,28:56:2F:56:A8:E1,-73
213,2026-02-17 10:47:44,35.51946,11.03366,PIX-LINK,90:91:64:25:C9:45,-76
213,2026-02-17 10:47:44,35.51946,11.03366,Ooredoo-X17M-283C77,D8:42:F7:28:3C:7B,-80
212,2026-02-17 10:47:38,35.51939,11.03401,AP_M32531-7221023FP,28:56:2F:56:A8:E1,-79
212,2026-02-17 10:47:38,35.51939,11.03401,PIX-LINK,90:91:64:25:C9:45,-76
212,2026-02-17 10:47:38,35.51939,11.03401,SG-B2341163022,B8:D6:1A:9F:03:99,-82
212,2026-02-17 10:47:38,35.51939,11.03401,Ooredoo-X17M-283C77,D8:42:F7:28:3C:7B,-85
211,2026-02-17 10:47:33,35.5194,11.034,PIX-LINK,90:91:64:25:C9:45,-76
211,2026-02-17 10:47:33,35.5194,11.034,SG-B2341163022,B8:D6:1A:9F:03:99,-82
211,2026-02-17 10:47:33,35.5194,11.034,Ooredoo _S20_2F8F,98:A9:42:6E:2F:8F,-72
211,2026-02-17 10:47:33,35.5194,11.034,ooredoo-43DD30,98:A9:42:43:DD:31,-88
210,2026-02-17 10:47:28,35.51941,11.03399,SG-B2341163022,B8:D6:1A:9F:03:99,-82
210,2026-02-17 10:47:28,35.51941,11.03399,PIX-LINK,90:91:64:25:C9:45,-76
210,2026-02-17 10:47:28,35.51941,11.03399,Ooredoo _S20_2F8F,98:A9:42:6E:2F:8F,-72
210,2026-02-17 10:47:28,35.51941,11.03399,Ooredoo-X17M-283C77,D8:42:F7:28:3C:7B,-85
210,2026-02-17 10:47:28,35.51941,11.03399,D-Link_DAP-1360,1C:5F:2B:9F:39:DE,-90
209,2026-02-17 10:47:23,35.51938,11.03401,PIX-LINK,90:91:64:25:C9:45,-76
209,2026-02-17 10:47:23,35.51938,11.03401,Ooredoo _S20_2F8F,98:A9:42:6E:2F:8F,-72
209,2026-02-17 10:47:23,35.51938,11.03401,SG-B2341163022,B8:D6:1A:9F:03:99,-82
209,2026-02-17 10:47:23,35.51938,11.03401,Ooredoo-X17M-283C77,D8:42:F7:28:3C:7B,-85
209,2026-02-17 10:47:23,35.51938,11.03401,AP_M32531-7221023FP,28:56:2F:56:A8:E1,-79
209,2026-02-17 10:47:23,35.51938,11.03401,Orange-0222,02:7E:DE:22:02:24,-85
209,2026-02-17 10:47:23,35.51938,11.03401,Ooredoo-X17M-283C77_plus,D4:35:38:03:4E:12,-89
208,2026-02-17 10:47:18,35.51938,11.03401,PIX-LINK,90:91:64:25:C9:45,-76
208,2026-02-17 10:47:18,35.51938,11.03401,Ooredoo _S20_2F8F,98:A9:42:6E:2F:8F,-72
208,2026-02-17 10:47:18,35.51938,11.03401,AP_M32531-7221023FP,28:56:2F:56:A8:E1,-79
208,2026-02-17 10:47:18,35.51938,11.03401,Orange-0222,02:7E:DE:22:02:24,-85
208,2026-02-17 10:47:18,35.51938,11.03401,SG-B2341163022,B8:D6:1A:9F:03:99,-82
207,2026-02-17 10:47:13,35.51938,11.03401,Ooredoo _S20_2F8F,98:A9:42:6E:2F:8F,-72
